countyLong,countyLat,countyPK,countyOrder,county,chb,schsacRegion,countyFips,chbPK,schsacRegionPK,chbLong,chbLat,chbOrder,schsacRegionLong,schsacRegionLat,schsacRegionOrder
-93.6155777,44.72508621,10,183,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.6155777,44.72508621,377,,,
-93.63275909,44.71362686,10,184,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.63275909,44.71362686,378,,,
-93.66140747,44.70789719,10,185,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.66140747,44.70789719,379,,,
-93.68432617,44.70216751,10,186,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.68432617,44.70216751,380,,,
-93.70152283,44.67924881,10,187,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.70152283,44.67924881,381,,,
-93.76454163,44.66205978,10,188,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.76454163,44.66205978,382,,,
-93.76454163,44.68497849,10,189,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.76454163,44.68497849,383,-93.76454163,44.68497849,159
-93.87913513,44.68497849,10,190,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.87913513,44.68497849,384,-93.87913513,44.68497849,160
-93.88486481,44.72508621,10,191,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.88486481,44.72508621,385,-93.88486481,44.72508621,161
-94.01091766,44.72508621,10,192,Carver,(M) Carver,Metro (M),27019,99101,99100,-94.01091766,44.72508621,386,-94.01091766,44.72508621,162
-94.01664734,44.98291397,10,193,Carver,(M) Carver,Metro (M),27019,99101,99100,-94.01664734,44.98291397,387,-94.01664734,44.98291397,163
-93.76454163,44.98864746,10,194,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.76454163,44.98864746,388,,,
-93.76454163,44.89697266,10,195,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.76454163,44.89697266,389,,,
-93.51817322,44.89697266,10,196,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.51817322,44.89697266,390,,,
-93.51817322,44.82248688,10,197,Carver,(M) Carver,Metro (M),27019,99101,99100,-93.51817322,44.82248688,391,,,
-94.3890686,47.4237175,11,199,Cass,(C) Cass,Central (C),27021,99001,99000,-94.3890686,47.4237175,16,,,
-94.3661499,47.41798782,11,200,Cass,(C) Cass,Central (C),27021,99001,99000,-94.3661499,47.41798782,17,-94.3661499,47.41798782,25
-94.33750153,47.4237175,11,201,Cass,(C) Cass,Central (C),27021,99001,99000,-94.33750153,47.4237175,18,-94.33750153,47.4237175,26
-94.31458282,47.41798782,11,202,Cass,(C) Cass,Central (C),27021,99001,99000,-94.31458282,47.41798782,19,-94.31458282,47.41798782,27
-94.29166412,47.41798782,11,203,Cass,(C) Cass,Central (C),27021,99001,99000,-94.29166412,47.41798782,20,-94.29166412,47.41798782,28
-94.28593445,47.42944336,11,204,Cass,(C) Cass,Central (C),27021,99001,99000,-94.28593445,47.42944336,21,-94.28593445,47.42944336,29
-94.26301575,47.44090652,11,205,Cass,(C) Cass,Central (C),27021,99001,99000,-94.26301575,47.44090652,22,-94.26301575,47.44090652,30
-94.25728607,47.45236206,11,206,Cass,(C) Cass,Central (C),27021,99001,99000,-94.25728607,47.45236206,23,-94.25728607,47.45236206,31
-94.24582672,47.45809555,11,207,Cass,(C) Cass,Central (C),27021,99001,99000,-94.24582672,47.45809555,24,-94.24582672,47.45809555,32
-94.24582672,47.46955109,11,208,Cass,(C) Cass,Central (C),27021,99001,99000,-94.24582672,47.46955109,25,-94.24582672,47.46955109,33
-94.24009705,47.49246979,11,209,Cass,(C) Cass,Central (C),27021,99001,99000,-94.24009705,47.49246979,26,-94.24009705,47.49246979,34
