county,chb,schsacRegion,countyFips,chbPK,schsacRegionPK,countyLong,countyLat,countyOrder,chbLong,chbLat,chbOrder,schsacRegionLong,schsacRegionLat,schsacRegionOrder
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.68432617,44.70216751,186,-93.68432617,44.70216751,380,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.70152283,44.67924881,187,-93.70152283,44.67924881,381,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.76454163,44.66205978,188,-93.76454163,44.66205978,382,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.76454163,44.68497849,189,-93.76454163,44.68497849,383,-93.76454163,44.68497849,159
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.87913513,44.68497849,190,-93.87913513,44.68497849,384,-93.87913513,44.68497849,160
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.88486481,44.72508621,191,-93.88486481,44.72508621,385,-93.88486481,44.72508621,161
Carver,(M) Carver,Metro (M),27019,99101,99100,-94.01091766,44.72508621,192,-94.01091766,44.72508621,386,-94.01091766,44.72508621,162
Carver,(M) Carver,Metro (M),27019,99101,99100,-94.01664734,44.98291397,193,-94.01664734,44.98291397,387,-94.01664734,44.98291397,163
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.76454163,44.98864746,194,-93.76454163,44.98864746,388,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.76454163,44.89697266,195,-93.76454163,44.89697266,389,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.51817322,44.89697266,196,-93.51817322,44.89697266,390,,,
Carver,(M) Carver,Metro (M),27019,99101,99100,-93.51817322,44.82248688,197,-93.51817322,44.82248688,391,,,
Cass,(C) Cass,Central (C),27021,99001,99000,-94.3890686,47.4237175,199,-94.3890686,47.4237175,16,,,
Cass,(C) Cass,Central (C),27021,99001,99000,-94.3661499,47.41798782,200,-94.3661499,47.41798782,17,-94.3661499,47.41798782,25
Cass,(C) Cass,Central (C),27021,99001,99000,-94.33750153,47.4237175,201,-94.33750153,47.4237175,18,-94.33750153,47.4237175,26
Cass,(C) Cass,Central (C),27021,99001,99000,-94.31458282,47.41798782,202,-94.31458282,47.41798782,19,-94.31458282,47.41798782,27
Cass,(C) Cass,Central (C),27021,99001,99000,-94.29166412,47.41798782,203,-94.29166412,47.41798782,20,-94.29166412,47.41798782,28
Cass,(C) Cass,Central (C),27021,99001,99000,-94.28593445,47.42944336,204,-94.28593445,47.42944336,21,-94.28593445,47.42944336,29
Cass,(C) Cass,Central (C),27021,99001,99000,-94.26301575,47.44090652,205,-94.26301575,47.44090652,22,-94.26301575,47.44090652,30
Cass,(C) Cass,Central (C),27021,99001,99000,-94.25728607,47.45236206,206,-94.25728607,47.45236206,23,-94.25728607,47.45236206,31
Cass,(C) Cass,Central (C),27021,99001,99000,-94.24582672,47.45809555,207,-94.24582672,47.45809555,24,-94.24582672,47.45809555,32
Cass,(C) Cass,Central (C),27021,99001,99000,-94.24582672,47.46955109,208,-94.24582672,47.46955109,25,-94.24582672,47.46955109,33
Cass,(C) Cass,Central (C),27021,99001,99000,-94.24009705,47.49246979,209,-94.24009705,47.49246979,26,-94.24009705,47.49246979,34
Cass,(C) Cass,Central (C),27021,99001,99000,-94.2286377,47.50966263,210,-94.2286377,47.50966263,27,-94.2286377,47.50966263,35
Cass,(C) Cass,Central (C),27021,99001,99000,-94.21144867,47.51538849,211,-94.21144867,47.51538849,28,-94.21144867,47.51538849,36
Cass,(C) Cass,Central (C),27021,99001,99000,-94.19998932,47.50393295,212,-94.19998932,47.50393295,29,-94.19998932,47.50393295,37
Cass,(C) Cass,Central (C),27021,99001,99000,-94.17707062,47.51538849,213,-94.17707062,47.51538849,30,-94.17707062,47.51538849,38
Cass,(C) Cass,Central (C),27021,99001,99000,-94.15415955,47.51538849,214,-94.15415955,47.51538849,31,-94.15415955,47.51538849,39
Cass,(C) Cass,Central (C),27021,99001,99000,-94.10832214,47.49819946,215,-94.10832214,47.49819946,32,-94.10832214,47.49819946,40
